date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:30	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Sep%202019%2013:53:30%20GMT	https://templates.envytheme.com/milkwash/default	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default.0.delayed	(from )
14:53:31	67414/67414	---MCZ	200	added ('OK')	text/html	etag:W/%225d396f4a-10756%22	https://templates.envytheme.com/milkwash/default/	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/index.html	(from )
14:53:33	169/169	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Sep%202019%2013:53:33%20GMT	https://templates.envytheme.com/robots.txt		(from )
14:53:34	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225d396f53-2606e%22	https://templates.envytheme.com/milkwash/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:35	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%225d396f54-791c%22	https://templates.envytheme.com/milkwash/default/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/css/font-awesome.min.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:35	4830/4830	---MCZ	200	added ('OK')	text/css	etag:W/%225d396f54-12de%22	https://templates.envytheme.com/milkwash/default/assets/css/owl.carousel.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/css/owl.carousel.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:36	5418/5418	---MCZ	200	added ('OK')	text/css	etag:W/%225d396f54-152a%22	https://templates.envytheme.com/milkwash/default/assets/css/magnific-popup.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/css/magnific-popup.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:37	2515/2515	---MCZ	200	added ('OK')	text/css	etag:W/%225d396f55-9d3%22	https://templates.envytheme.com/milkwash/default/assets/css/slicknav.min.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/css/slicknav.min.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:37	25427/25427	---MCZ	200	added ('OK')	text/css	etag:W/%225d396f53-6353%22	https://templates.envytheme.com/milkwash/default/assets/css/animate.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/css/animate.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:39	153977/153977	---MCZ	200	added ('OK')	text/css	etag:W/%225d39733b-25979%22	https://templates.envytheme.com/milkwash/default/assets/css/style.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/css/style.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:39	86115/86115	---MCZ	200	added ('OK')	text/css	etag:W/%225d396f54-15063%22	https://templates.envytheme.com/milkwash/default/assets/css/responsive.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/css/responsive.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:40	9517/9517	---MCZ	200	added ('OK')	text/css	etag:W/%225d396f98-252d%22	https://templates.envytheme.com/milkwash/default/assets/css/color/default-color.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/css/color/default-color.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:40	10743/10743	---MCZ	200	added ('OK')	text/css	etag:W/%225d396f57-29f7%22	https://templates.envytheme.com/milkwash/default/assets/dist/color-switcher.css	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/dist/color-switcher.css	(from https://templates.envytheme.com/milkwash/default/)
14:53:41	975/975	---M--	200	added ('OK')	image/png	etag:%225d396f60-3cf%22	https://templates.envytheme.com/milkwash/default/assets/img/favicon.png	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/img/favicon.png	(from https://templates.envytheme.com/milkwash/default/)
14:53:44	67414/67414	---MCZ	200	added ('OK')	text/html	etag:W/%225d396f4a-10756%22	https://templates.envytheme.com/milkwash/default/index.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/index-2.html	(from https://templates.envytheme.com/milkwash/default/)
14:53:46	23904/23904	---M--	200	added ('OK')	image/png	etag:%225d396f62-5d60%22	https://templates.envytheme.com/milkwash/default/assets/img/logo.png	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/img/logo.png	(from https://templates.envytheme.com/milkwash/default/)
14:53:46	214250/214250	---M--	200	added ('OK')	image/gif	etag:%225d396f62-344ea%22	https://templates.envytheme.com/milkwash/default/assets/img/loader.gif	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/assets/img/loader.gif	(from https://templates.envytheme.com/milkwash/default/)
14:53:47	67402/67402	---MCZ	200	added ('OK')	text/html	etag:W/%225d396f49-1074a%22	https://templates.envytheme.com/milkwash/default/index-2.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/index-3.html	(from https://templates.envytheme.com/milkwash/default/)
14:53:47	59243/59243	---MCZ	200	added ('OK')	text/html	etag:W/%225d3a0a87-e76b%22	https://templates.envytheme.com/milkwash/default/index-3.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/index-4.html	(from https://templates.envytheme.com/milkwash/default/)
14:53:48	44310/44310	---MCZ	200	added ('OK')	text/html	etag:W/%225d3a0af0-ad16%22	https://templates.envytheme.com/milkwash/default/index-4.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/index-5.html	(from https://templates.envytheme.com/milkwash/default/)
14:53:49	54412/54412	---MCZ	200	added ('OK')	text/html	etag:W/%225d3a0bf3-d48c%22	https://templates.envytheme.com/milkwash/default/index-5.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/index-6.html	(from https://templates.envytheme.com/milkwash/default/)
14:53:49	40580/40580	---MCZ	200	added ('OK')	text/html	etag:W/%225d396f47-9e84%22	https://templates.envytheme.com/milkwash/default/about.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/about.html	(from https://templates.envytheme.com/milkwash/default/)
14:53:50	43687/43687	---MCZ	200	added ('OK')	text/html	etag:W/%225d396f48-aaa7%22	https://templates.envytheme.com/milkwash/default/blog-2.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/blog-2.html	(from https://templates.envytheme.com/milkwash/default/)
14:53:51	38873/38873	---MCZ	200	added ('OK')	text/html	etag:W/%225d396f4b-97d9%22	https://templates.envytheme.com/milkwash/default/single-post.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/single-post.html	(from https://templates.envytheme.com/milkwash/default/)
14:53:51	37106/37106	---MCZ	200	added ('OK')	text/html	etag:W/%225d396f4c-90f2%22	https://templates.envytheme.com/milkwash/default/single-shop.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/single-shop.html	(from https://templates.envytheme.com/milkwash/default/)
14:53:52	40586/40586	---MCZ	200	added ('OK')	text/html	etag:W/%225d396f4c-9e8a%22	https://templates.envytheme.com/milkwash/default/single-service.html	C:/My%20Web%20Sites/MilkWash/templates.envytheme.com/milkwash/default/single-service.html	(from https://templates.envytheme.com/milkwash/default/)
